Pos	StartNum	Name	Affiliation	YOB	U23	Time	Swim	T1	Bike	T2	Run
9	8	小原 北斗	セクダム・チームエフォーツ/鳥取	1998		1:53:29	0:17:35	0:01:15	1:00:13	0:00:29	0:33:57
10	4	望月 満帆	トーシンパートナーズ・チームケンズ/山梨	2000	4	1:53:31	0:16:52	0:01:11	0:59:42	0:00:27	0:35:19
11	13	富内 檀	アリーディ・トライアクティブ・テイルウインド/東京	1994		1:53:32	0:16:54	0:01:09	0:59:45	0:00:28	0:35:16
12	21	石関 玲於	佐賀県トライアスロン協会	1998		1:53:33	0:17:47	0:01:13	1:01:23	0:00:33	0:32:37
13	47	大浦 直繁	静岡県トライアスロン協会	2000	5	1:53:42	0:17:00	0:01:17	1:00:50	0:00:31	0:34:04
14	16	森 拳真	トヨタ自動車/愛知	1999		1:54:03	0:17:57	0:01:13	1:02:11	0:00:38	0:32:04
15	18	玉崎 稜也	小泉/東京	1998		1:54:13	0:17:22	0:01:08	1:00:35	0:00:37	0:34:31
16	11	甲斐 瑠夏	佐賀県トライアスロン協会	2000	6	1:54:32	0:17:47	0:01:01	1:00:19	0:00:38	0:34:47
17	28	阿部 有希	福島県トライアスロン協会	1993		1:54:42	0:17:02	0:01:15	1:00:53	0:00:34	0:34:58
18	12	安藤 勘太	流通経済大学	2001	7	1:54:52	0:16:55	0:01:14	1:01:05	0:00:46	0:34:52
19	14	大谷 友哉	日本体育大学	2002	8	1:55:27	0:16:58	0:01:09	1:01:02	0:00:30	0:35:48
20	10	古山 大	セクダム/茨城	1995		1:55:35	0:16:53	0:01:11	0:59:43	0:00:37	0:37:11
21	7	榊原 利基	ANAシステムズ/神奈川	1994		1:55:50	0:17:57	0:01:15	1:01:14	0:00:36	0:34:48
22	22	堀田 光輝	フリート/千葉	1997		1:56:07	0:18:11	0:01:24	1:01:46	0:00:31	0:34:15
23	27	梅田 祐輝	東京都トライアスロン連合	1985		1:56:10	0:18:13	0:01:16	1:01:54	0:00:47	0:34:00
24	50	山中 翔陽	佐賀大学・MCAひのさとTS	2002	9	1:56:12	0:17:47	0:01:14	1:01:23	0:00:31	0:35:17
25	20	小林 祐也	日本大学・SUNNY FISH	1999		1:56:15	0:16:49	0:01:15	1:01:05	0:00:43	0:36:23
26	42	出口 陽也	東京都トライアスロン連合	1998		1:56:31	0:16:59	0:01:17	1:00:56	0:00:38	0:36:41
27	45	中嶋 将太	日本体育大学	2002	10	1:56:36	0:17:29	0:01:11	1:02:42	0:00:28	0:34:46
28	33	柴田 和樹	東北大学	1999		1:56:48	0:17:44	0:01:16	1:01:26	0:00:41	0:35:41
29	46	林田 悠希	同志社大学・AS京都	2004	11	1:56:57	0:17:45	0:01:29	1:01:10	0:00:31	0:36:02
30	19	枡田 貴理丸	アルファ/三重	1996		1:57:25	0:18:16	0:01:14	1:01:53	0:00:34	0:35:28
31	43	山浦 健	立命館大学	2003	12	1:57:43	0:17:34	0:01:21	1:01:37	0:01:14	0:35:57
32	30	外山 高広	東京ヴェルディ/東京	1983		1:58:09	0:17:32	0:01:18	1:01:39	0:00:34	0:37:06
33	17	若竹 葵礼	立命館大学	2004	13	1:58:11	0:17:27	0:01:11	1:03:33	0:00:41	0:35:19
34	26	武田 空我	東海大学	2003	14	1:58:18	0:17:39	0:01:19	1:01:30	0:00:44	0:37:06
35	25	松浦 達也	広島県トライアスロン協会	1997		1:58:29	0:18:12	0:01:17	1:01:48	0:00:33	0:36:39
36	9	大室 杏夢	早稲田大学・ロンドスポーツ	2004	15	1:58:35	0:16:50	0:01:13	1:03:16	0:00:46	0:36:30
37	32	前田 能宜	愛知県トライアスロン協会	1999		1:58:45	0:18:15	0:01:18	1:01:45	0:00:36	0:36:51
38	44	寺澤 光介	サニーフィッシュ/東京	1994		1:59:08	0:18:10	0:01:13	1:01:04	0:01:03	0:37:38
39	58	大山 輝向	日本体育大学	2003	16	1:59:39	0:18:14	0:01:10	1:01:02	0:00:35	0:38:38
40	37	本木 颯人	日本体育大学	2002	17	1:59:59	0:18:16	0:01:15	1:01:49	0:00:30	0:38:09
41	35	中山 雄貴	広島大学	1999		2:00:06	0:19:26	0:01:12	1:01:44	0:00:34	0:37:10
42	57	小林 竜馬	茨城県トライアスロン協会	1997		2:00:11	0:17:57	0:01:17	1:02:07	0:00:30	0:38:20
43	40	岩井 悠二	立命館大学	2002	18	2:00:14	0:18:26	0:01:11	1:03:05	0:00:39	0:36:53
44	55	小林 幸誠	立命館大学	2001	19	2:00:20	0:16:58	0:01:15	1:03:11	0:00:37	0:38:19
45	56	大嶋 力	立命館大学・AS京都	2003	20	2:01:44	0:17:57	0:01:21	1:02:01	0:00:40	0:39:45
LAP	24	関 麟太郎	新潟大学・アクシートライアスロンチーム	2004			0:17:50	0:01:12			
LAP	31	花岡 秀吾	世田谷区役所・千葉ブレイブ・SUNNY FISH/東京	2000			0:19:46	0:01:17			
LAP	34	岡本 空知	立命館大学	2002			0:18:14	0:01:04			
LAP	36	福島 稜大	福岡県トライアスロン連合	2001			0:19:36	0:01:14			
LAP	48	倉本 倫太郎	早稲田大学本庄高等学院・I-STORM	2005			0:19:47	0:01:17			
LAP	49	小田 陸人	立命館大学	2002			0:19:34	0:01:11			
LAP	51	大畑 亮介	東京都トライアスロン連合	1982			0:18:35	0:01:27			
LAP	52	山本 稜弥	専修大学・東京ヴェルディ	2001			0:18:15	0:01:19			
LAP	53	山岸 穂高	千葉県トライアスロン連合	1997			0:20:22	0:01:23			
LAP	54	大山 波琉	鳥取県トライアスロン協会	2005			0:18:36	0:01:14			
DNF	29	湯村 天星	岐阜県トライアスロン連合	1999			0:16:52	0:01:14			
DNF	39	浅沼 一那	国士舘大学・東京ヴェルディ	2005			0:16:57	0:01:12			
DNS	38	長正 憲武	福島県トライアスロン協会	1999							
